nh_sku,fsn,channel_sku,master_status,mrp,pdp_url
AC-KNC-DNT-02,HCBGBCSHRZGD6YTF,AC-KNC-DNT-02,Active,470.0,https://www.flipkart.com/x/p/x?pid=HCBGBCSHRZGD6YTF
AC-KNC-DNWT-03,HCBGBCSH7GFJPGHY,AC-KNC-DNWT-03,Active,705.0,https://www.flipkart.com/x/p/x?pid=HCBGBCSH7GFJPGHY
AC-KNC-DT-00,HCBG9G5TGMTGGHTE,AC-KNC-DT-00,Active,235.0,https://www.flipkart.com/x/p/x?pid=HCBG9G5TGMTGGHTE
AC-KNC-DWT-02,HCBGBCSHYMGZMMG6,AC-KNC-DWT-02,Active,470.0,https://www.flipkart.com/x/p/x?pid=HCBGBCSHYMGZMMG6
AC-KNC-FTP-00,HCBGVFY97SR5HZ9W,AC-KNC-FTP-00,Active,152.0,https://www.flipkart.com/x/p/x?pid=HCBGVFY97SR5HZ9W
AC-KNC-FTSL-00,HCBGV2QVYMZ3RYP6,AC-KNC-FTSL-00,Active,235.0,https://www.flipkart.com/x/p/x?pid=HCBGV2QVYMZ3RYP6
AC-KNC-FTSS-00,HCBGV2QA9JKRZSXV,AC-KNC-FTSS-00,Active,199.0,https://www.flipkart.com/x/p/x?pid=HCBGV2QA9JKRZSXV
AC-KNC-NT-00,HCBG9JFZTB7ZWQKF,AC-KNC-NT-00,Active,235.0,https://www.flipkart.com/x/p/x?pid=HCBG9JFZTB7ZWQKF
AC-KNC-WT-00,HCBG9JFQU7QHVGKY,AC-KNC-WT-00,Active,235.0,https://www.flipkart.com/x/p/x?pid=HCBG9JFQU7QHVGKY
AC-KNC-WT2-002,HCBGVGBU4A26MWPS,AC-KNC-WT2-002,Active,470.0,https://www.flipkart.com/x/p/x?pid=HCBGVGBU4A26MWPS
AC-KNC-WTB-00,HCBGVFY9MU9WDQKZ,AC-KNC-WTB-00,Active,199.0,https://www.flipkart.com/x/p/x?pid=HCBGVFY9MU9WDQKZ
AC-KNC-WTSL-00,HCBGVFYAAKUGW4ES,AC-KNC-WTSL-00,Active,235.0,https://www.flipkart.com/x/p/x?pid=HCBGVFYAAKUGW4ES
AC-KNC-WTSS-00,HCBGVFY9HCHYZTSR,AC-KNC-WTSS-00,Active,199.0,https://www.flipkart.com/x/p/x?pid=HCBGVFY9HCHYZTSR
AC-PFR-PS-00,PMSGGCZYXFXK9RUH,AC-PFR-PS-00,Active,195.0,https://www.flipkart.com/x/p/x?pid=PMSGGCZYXFXK9RUH
AC-PFR-PS2-00,PMSGKA63FD9NQ9MS,AC-PFR-PS2-00,Active,389.0,https://www.flipkart.com/x/p/x?pid=PMSGKA63FD9NQ9MS
AC-SDL-LO-00,LFHGGBVFZ4SFZKDP,AC-SDL-LO-00,Active,139.0,https://www.flipkart.com/x/p/x?pid=LFHGGBVFZ4SFZKDP
AC-SDL-LO2-00,LFHGGBV9NUHPQTGZ,AC-SDL-LO2-00,Active,278.0,https://www.flipkart.com/x/p/x?pid=LFHGGBV9NUHPQTGZ
AC-SDL-LO3-00,LFHGKA6SH5X3Y9BN,AC-SDL-LO3-00,Active,418.0,https://www.flipkart.com/x/p/x?pid=LFHGKA6SH5X3Y9BN
AC-SDL-LO4-00,LFHGKB65HJNZEDW3,AC-SDL-LO4-00,Active,557.0,https://www.flipkart.com/x/p/x?pid=LFHGKB65HJNZEDW3
BA-BM-AD-120,KMTH9J28QZ3M8HDT,BA-BM-AD-120-D,Active,498.0,https://www.flipkart.com/x/p/x?pid=KMTH9J28QZ3M8HDT
BA-BML-AD-200,KMTH9J28324EGGNB,BA-BML-AD-200-D,Inactive,503.0,https://www.flipkart.com/x/p/x?pid=KMTH9J28324EGGNB
BA-BML-TC-200,KMTH9J28WPTGAH87,BA-BML-TC-200-D,Active,479.0,https://www.flipkart.com/x/p/x?pid=KMTH9J28WPTGAH87
BA-BM-TC-120,KMTH9J28N8AJGGHN,BA-BM-TC-120-D,Active,474.0,https://www.flipkart.com/x/p/x?pid=KMTH9J28N8AJGGHN
BA-BM-TC2-120,BBCHHGNWJD9Y8BZF,BA-BM-TC2-120,Active,948.0,https://www.flipkart.com/x/p/x?pid=BBCHHGNWJD9Y8BZF
BA-BP-RH-150,PPFGZCR2BUGCGNYM,BA-BP-RH-150,Inactive,270.0,https://www.flipkart.com/x/p/x?pid=PPFGZCR2BUGCGNYM
BA-BP-RH2-150,BBCGZH25BKDHYEJN,BA-BP-RH2-150,Inactive,540.0,https://www.flipkart.com/x/p/x?pid=BBCGZH25BKDHYEJN
