nh_sku,url
AC-KNC-DNT-02,https://nathabit.in/products/strong-kacchi-neem-comb-dual-fine
AC-KNC-DNWT-03,https://nathabit.in/products/strong-kacchi-neem-comb-combo-dual-wide-fine
AC-KNC-DT-00,https://nathabit.in/products/dual-tooth-kacchi-neem-comb
AC-KNC-DWT-02,https://nathabit.in/products/strong-kacchi-neem-comb-dual-wide
AC-KNC-FTP-00,https://nathabit.in/products/pocket-comb
AC-KNC-FTSL-00,https://nathabit.in/products/styling-comb-large
AC-KNC-FTSS-00,https://nathabit.in/products/styling-comb-small
AC-KNC-NT-00,https://nathabit.in/products/fine-tooth-kacchi-neem-comb
AC-KNC-WT-00,https://nathabit.in/products/wide-tooth-kacchi-neem-comb
AC-KNC-WT2-002,
AC-KNC-WTB-00,https://nathabit.in/products/bounce-comb
AC-KNC-WTSL-00,https://nathabit.in/products/shampoo-comb-large
AC-KNC-WTSS-00,https://nathabit.in/products/shampoo-comb-small
AC-PFR-PS-00,https://nathabit.in/products/original-pumice-foot-rub
AC-PFR-PS2-00,https://nathabit.in/products/original-pumice-foot-rub-twin-pack
AC-SDL-LO-00,https://nathabit.in/products/sun-dried-loofah-single
AC-SDL-LO2-00,https://nathabit.in/products/sun-dried-loofah-twinpack
AC-SDL-LO3-00,
AC-SDL-LO4-00,
BA-BM-AD-120,https://nathabit.in/products/strong-kusha-baby-powder-shwet-chandan-150g-strong-br-i-0-5yrs-rashfree-soft-protection-i-copy
BA-BML-AD-200,https://nathabit.in/products/almond-date-baby-malai-lotion
BA-BML-TC-200,https://nathabit.in/products/tender-coconut-baby-malai-lotion
BA-BM-TC-120,https://nathabit.in/products/strong-almond-date-fresh-baby-malai-strong-copy
BA-BM-TC2-120,https://nathabit.in/products/strong-almond-date-fresh-baby-malai-strong-copy
BA-BP-RH-150,https://nathabit.in/products/baby-powder-raw-haldi
BA-BP-RH2-150,https://nathabit.in/products/baby-powder-raw-haldi
BA-BP-RHSC-150,https://nathabit.in/products/baby-powder-combo
BA-BP-SC-150,https://nathabit.in/products/baby-powder-shwet-chandan
BA-BP-SC2-150,https://nathabit.in/products/baby-powder-shwet-chandan
BA-BU-CMA-080,https://nathabit.in/products/baby-ubtan-charoli-milk-almond
BA-BU-CMA2-080,https://nathabit.in/products/baby-ubtan-charoli-milk-almond
BA-BU-GG-080,https://nathabit.in/products/baby-daily-ubtan-grain-gram
BA-BU-GG2-080,https://nathabit.in/products/baby-daily-ubtan-grain-gram
BA-BU-MN-080,https://nathabit.in/products/baby-daily-ubtan-milk-nut
BA-BU-MN2-080,https://nathabit.in/products/baby-daily-ubtan-milk-nut
BA-DRC-PC-075,https://nathabit.in/products/prebiotic-anti-rash-cream
BA-FM-MNO-075,https://nathabit.in/products/multi-nut-oats-vit-e-baby-face-malai
BA-PBO-AL-100,https://nathabit.in/products/pure-almond-baby-oil
BA-PBO-AL-200,https://nathabit.in/products/pure-almond-baby-oil
BA-PBO-ALBM-02,
BA-PBO-ALSC-02,
BA-PBO-OL-100,https://nathabit.in/products/pure-olive-baby-oil
BA-PBO-OL-200,https://nathabit.in/products/pure-olive-baby-oil
BA-PBO-OLBM-02,
BA-PBO-VCO-100,https://nathabit.in/products/pure-virgin-coconut-baby-oil
BA-PBO-VCO-200,https://nathabit.in/products/pure-virgin-coconut-baby-oil
BA-SHO-BM-110,https://nathabit.in/products/summer-baby-hair-oil
BA-SHO-BMSC-02,
BA-SMA-BN-100,https://nathabit.in/products/summer-baby-maahu
BA-SMA-BN-200,https://nathabit.in/products/summer-baby-maahu
BA-TRO-HS-040,https://nathabit.in/products/tummyroll-on
BA-WHO-BM-110,https://nathabit.in/products/winter-baby-hair-oil
BC-BL-AS2-250,https://nathabit.in/products/aloe-saunf-malai-lotion
BC-BL-AS-250,https://nathabit.in/products/aloe-saunf-malai-lotion
BC-BL-CID2-250,https://nathabit.in/products/double-cocoa-malai-lotion
BC-BL-CID-250,https://nathabit.in/products/double-cocoa-malai-lotion
BC-BL-MNS2-250,https://nathabit.in/products/multi-nut-malai-lotion
BC-BL-MNS-250,https://nathabit.in/products/multi-nut-malai-lotion
BC-BL-PM-250,https://nathabit.in/products/peach-milk-malai-lotion
BC-BL-RFR2-250,https://nathabit.in/products/fig-rose-malai-lotion
BC-BL-RFR-250,https://nathabit.in/products/fig-rose-malai-lotion
BC-BU-MN-080,https://nathabit.in/products/fresh-moong-nourish-bath-ubtan
BC-BU-MN2-080,
BC-BU-MN3-080,https://nathabit.in/products/fresh-moong-nourish-bath-ubtan
BC-BU-MR-080,https://nathabit.in/products/fresh-masoor-rub-bath-ubtan
BC-BU-MR2-080,https://nathabit.in/products/fresh-masoor-rub-bath-ubtan
BC-BU-MR3-080,https://nathabit.in/products/fresh-masoor-rub-bath-ubtan
BC-BU-NC-080,https://nathabit.in/products/fresh-neem-cure-bath-ubtan
BC-BU-NC2-080,https://nathabit.in/products/fresh-neem-cure-bath-ubtan
BC-BU-NC3-080,https://nathabit.in/products/fresh-neem-cure-bath-ubtan
BC-BU-TB-080,https://nathabit.in/products/fresh-wild-turmeric-bath-ubtan
BC-BU-TB2-080,https://nathabit.in/products/fresh-wild-turmeric-bath-ubtan
BC-BU-TB3-080,https://nathabit.in/products/fresh-wild-turmeric-bath-ubtan
BC-CB-AA-05,https://nathabit.in/products/baby-winter-combo
BC-CP-AL-050,https://nathabit.in/products/pure-cold-pressed-almond-oil
BC-CP-AL-100,https://nathabit.in/products/pure-cold-pressed-almond-oil
BC-CP-AR-030,https://nathabit.in/products/pure-cold-pressed-argan-oil
BC-CP-CA-190,
BC-CP-CA-200,https://nathabit.in/products/pure-cold-pressed-castor-oil
BC-CP-CO-200,https://nathabit.in/products/pure-cold-pressed-coconut-oil
BC-CP-GR-030,https://nathabit.in/products/pure-cold-pressed-grapeseed-oil
BC-CP-JO-030,https://nathabit.in/products/pure-cold-pressed-jojoba-oil
BC-CP-JO-050,https://nathabit.in/products/pure-cold-pressed-jojoba-oil
BC-CP-NE-200,https://nathabit.in/products/pure-cold-pressed-neem-oil
BC-CP-RH-030,https://nathabit.in/products/cold-pressed-rosehip-oil
BC-CPS-DC-125,https://nathabit.in/products/cold-processed-detox-charcoal-soap
BC-CPS-DC2-125,https://nathabit.in/products/cold-processed-detox-charcoal-soap
BC-CP-SE-200,https://nathabit.in/products/pure-cold-pressed-sesame-oil
