nh_sku,channel_sku,nykaa_product_id,master_status,mrp,master_shelf_life_days,pdp_url
AC-KNC-DNWT-03,AC-KNC-DNWT-03,6546340,Active,705,360,https://www.nykaa.com/x/p/6546340?productId=6546340
AC-KNC-NT-00,AC-KNC-NT-00,6546339,Active,235,360,https://www.nykaa.com/x/p/6546339?productId=6546339
AC-KNC-FTSS-00,AC-KNC-FTSS-00,12917341,Active,199,360,https://www.nykaa.com/x/p/12917341?productId=12917341
AC-KNC-WTB-00,AC-KNC-WTB-00,12917343,Active,199,360,https://www.nykaa.com/x/p/12917343?productId=12917343
FC-KL-OK2-040,FC-KL-OK2-040,10346726,Active,522,60,https://www.nykaa.com/x/p/10346726?productId=10346726
FC-KL-GK2-040,FC-KL-GK2-040,10346723,Active,546,60,https://www.nykaa.com/x/p/10346723?productId=10346723
BC-CP-SE-200,BC-CP-SE-200,10346738,Active,317.42,180,https://www.nykaa.com/x/p/10346738?productId=10346738
BC-CP-WA-030,BC-CP-WA-030,10346739,Active,423.62,180,https://www.nykaa.com/x/p/10346739?productId=10346739
CB-ML-TLFJ-02,CB-ML-TLFJ-02,10346731,Active,819,180,https://www.nykaa.com/x/p/10346731?productId=10346731
BC-SM-MNS-120,BC-SM-MNS-120,10346740,Active,407,270,https://www.nykaa.com/x/p/10346740?productId=10346740
FC-KL-CN2-040,FC-KL-CN2-040,10346721,Active,572,60,https://www.nykaa.com/x/p/10346721?productId=10346721
CB-ML-SGFJ-02,CB-ML-SGFJ-02,10346730,Active,848,180,https://www.nykaa.com/x/p/10346730?productId=10346730
CB-SM-FRDC-02,CB-SM-FRDC-02,10346732,Active,838,270,https://www.nykaa.com/x/p/10346732?productId=10346732
BC-SM-MNS2-120,BC-SM-MNS2-100,10346741,Active,814,270,https://www.nykaa.com/x/p/10346741?productId=10346741
FC-KL-KA2-040,FC-KL-KA2-040,10346724,Active,546,60,https://www.nykaa.com/x/p/10346724?productId=10346724
BC-CP-AR-030,BC-CP-AR-030,10346735,Active,612,180,https://www.nykaa.com/x/p/10346735?productId=10346735
FC-HG-OK2-080,FC-HG-OK2-080,10590822,Active,554.6,270,https://www.nykaa.com/x/p/10590822?productId=10590822
FC-HG-BT2-080,FC-HG-BT2-080,10590819,Active,531,270,https://www.nykaa.com/x/p/10590819?productId=10590819
FC-HG-PA2-080,FC-HG-PA2-080,10590821,Active,482,270,https://www.nykaa.com/x/p/10590821?productId=10590821
FC-HG-OV2-080,FC-HG-OV2-080,10590823,Active,554.6,270,https://www.nykaa.com/x/p/10590823?productId=10590823
FC-HG-RT2-080,FC-HG-RT2-080,10590817,Active,531,270,https://www.nykaa.com/x/p/10590817?productId=10590817
FC-HG-NT2-080,FC-HG-NT2-080,10590820,Active,540.44,270,https://www.nykaa.com/x/p/10590820?productId=10590820
BC-PO-AL-100,BC-PO-AL-100,10744909,Active,589,180,https://www.nykaa.com/x/p/10744909?productId=10744909
